,,Date,Year,Month,Day,Time,Latitude,Longitude,Material at Origin,Land Use at Origin,Size,"Suppressed 
by","Suppressing 
Agency",Facility Identification,Other Companies,Voltage,Equipment Involved With Ignition,Type,Was There an Outage,Date,Time,Suspected Initiating Event,"Equipment /Facility 
Failure","Contact From 
Object","Facility 
Contacted",Contributing Factor,Notes,EIR Number
1418,PG&E,10/15/2020,2020,10,15,19:39,39.0272439,-121.8666465,Vegetation,Agriculture,0.25 - 10 Acres,Fire Agency,Colusa FD,Pole ID: 103689220,N,"12,000",Splice/Clamp/Connector,Overhead,Y,10/15/2020,19:34,Equipment - PG&E,Splice/Clamp/Connector,N.A.,N.A.,N.A.,,
1415,PG&E,10/15/2020,2020,10,15,7:08,40.32359121,-122.4294287,Vegetation,Hardwood Woodland,1 meter - < 3 meters,Cal Fire,N.A.,"Circuit ID: 101511399, SAP Eqp ID: 101511399",Y,"12,000",Conductor - Primary,Overhead,Y,10/15/2020,7:02,Contact from object,N.A.,Vehicle,Conductor - Primary,N.A.,,
1381,PG&E,10/15/2020,2020,10,15,12:44,40.3614283,-122.34927,Vegetation,Hardwood Woodland,1 meter - < 3 meters,Cal Fire,N.A.,Circuit ID: 102931101,Y,"12,000",Conductor - Primary,Overhead,Y,10/15/2020,13:56,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1380,PG&E,10/15/2020,2020,10,15,13:01,40.594253,-122.238678,Vegetation,Herbaceous,3 meters - 0.25 Acres,Cal Fire,N.A.,Circuit ID: 103351104,N,750,Service Drop,Overhead,N,N.A.,N.A.,Contact from object,N.A.,Vegetation,Service Drop,N.A.,,
1375,PG&E,10/14/2020,2020,10,14,19:22,38.8072617,-121.2052067,Other,Urban,3 meters - 0.25 Acres,Fire Agency,Rocklin FD,Pole ID: 100058463,N,"12,000",Pole,Overhead,Y,10/14/2020,20:00,Contact from object,N.A.,Vehicle,Pole,N.A.,,
1374,PG&E,10/14/2020,2020,10,14,18:45,39.67734879,-121.843927,Vegetation,Agriculture,0.25 - 10 Acres,Cal Fire,N.A.,103081107,Y,"12,000",Conductor - Primary,Overhead,Y,10/14/2020,18:45,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1370,PG&E,10/13/2020,2020,10,13,16:21,35.554244,-119.805426,Other,Herbaceous,0.25 - 10 Acres,Cal Fire,N.A.,252321103,Y,"12,000",Conductor - Primary,Overhead,Y,10/13/2020,16:21,Contact from object,N.A.,Balloon,Conductor - Primary,N.A.,,
1369,PG&E,10/13/2020,2020,10,13,14:34,38.034359,-121.650673,Other,Herbaceous,1 meter - < 3 meters,Fire Agency,Contra Costa FD,Circuit ID: 014592112 Pole ID: 100457182,Y,"21,000",Conductor - Primary,Overhead,Y,10/13/2020,14:27,Equipment - PG&E,Insulator failure,N.A.,N.A.,N.A.,,
1366,PG&E,10/13/2020,2020,10,13,0:02,37.8028847,-122.2789089,Vegetation,Urban,1 meter - < 3 meters,Fire Agency,Oakland FD,Circuit ID: 012011113,Y,750,Service Drop,Overhead,N,N.A.,N.A.,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1364,PG&E,10/12/2020,2020,10,12,0:05,40.513569,-124.128161,Vegetation,Agriculture,3 meters - 0.25 Acres,Fire Agency,Rio Dell FD,"Circuit ID: 192251101, between Pole ID: 100998306 and 103168487",N,"12,000",Splice/Clamp/Connector,Overhead,Y,10/11/2020,23:57,Equipment - PG&E,Splice/Clamp/Connector,N.A.,N.A.,N.A.,,
1363,PG&E,10/11/2020,2020,10,11,23:29,37.02175,-120.0712,Vegetation,Urban,1 meter - < 3 meters,Cal Fire,N.A.,254611111,Y,"12,000",Conductor - Primary,Overhead,Y,10/11/2020,23:29,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1361,PG&E,10/10/2020,2020,10,10,1:13,35.38734,-118.93934,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Bakersfield FD,"Circuit ID: 253951109, SAP ID: 102296159",Y,"12,000",Conductor - Primary,Overhead,Y,10/10/2020,1:11,Equipment - PG&E,Splice/Clamp/Connector,N.A.,N.A.,N.A.,,
1356,PG&E,10/7/2020,2020,10,7,13:08,39.148865,-122.2519667,Vegetation,Agriculture,3 meters - 0.25 Acres,Fire Agency,Williams FD,Circuit ID: 062051102,N,"12,000",Conductor - Primary,Overhead,Y,10/7/2020,12:49,Contact from object,N.A.,Animal,Conductor - Primary,N.A.,,
1353,PG&E,10/5/2020,2020,10,5,14:44,38.11667999,-120.89073,Vegetation,Herbaceous,0.25 - 10 Acres,Cal Fire,Cal Fire and Calaveras Consolidated Fire,Circuit ID: 162991102,Y,"12,000",Conductor - Primary,Overhead,Y,10/5/2020,14:40,Contact from object,N.A.,Vehicle,Conductor - Primary,N.A.,,
1341,PG&E,10/4/2020,2020,10,4,16:23,38.7308483,-121.1934033,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Granite Bay FD,"Circuit ID: 152571105, SAP ID: 100066291",Y,"12,000",Conductor - Primary,Overhead,Y,10/4/2020,16:18,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1340,PG&E,10/4/2020,2020,10,4,16:23,35.629891,-120.360282,Vegetation,Agriculture,3 meters - 0.25 Acres,Self Extinguished,N.A.,Circuit ID: 182562102 ,Y,"21,000",Conductor - Primary,Overhead,Y,10/4/2020,16:04,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1335,PG&E,10/3/2020,2020,10,3,16:47,38.50541449,-122.8391961,Vegetation,Agriculture,3 meters - 0.25 Acres,Fire Agency,Sonoma County FD,"Circuit ID: 042561102, SAP ID: 103593452",Y,"12,000",Conductor - Secondary,Overhead,Y,10/3/2020,17:46,Contact from object,N.A.,Vegetation,Conductor - Secondary,N.A.,,
1334,PG&E,10/3/2020,2020,10,3,15:29,37.48888,-122.206464,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Redwood City FD,Circuit ID: 024161102 ,Y,"12,000",Conductor - Primary,Overhead,Y,10/3/2020,14:33,Contact from object,N.A.,Animal,Conductor - Primary,N.A.,,
1332,PG&E,10/2/2020,2020,10,2,20:10,37.2524683,-120.3159017,Vegetation,Agriculture,3 meters - 0.25 Acres,Cal Fire,N.A.,"Circuit ID: 255361112, SAP ID: 101082275        ",Y,"12,000",Service Drop,Overhead,Y,10/2/2020,21:06,Contact from object,N.A.,Vegetation,Service Drop,N.A.,,
1330,PG&E,10/2/2020,2020,10,2,15:45,39.13299,-121.079172,Vegetation,Hardwood Woodland,0.25 - 10 Acres,Cal Fire,N.A.,Circuit ID: 152691103,Y,"12,000",Conductor - Primary,Overhead,Y,10/2/2020,15:21,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1329,PG&E,10/2/2020,2020,10,2,15:12,38.46804,-121.93695,Vegetation,Urban,1 meter - < 3 meters,Customer,N.A.,Circuit ID: 063591103,Y,"12,000",Conductor - Primary,Overhead,Y,10/2/2020,15:02,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1324,PG&E,10/1/2020,2020,10,1,12:05,37.004527,-120.083501,Vegetation,Urban,0.25 - 10 Acres,Cal Fire,N.A.,Circuit ID: 254611111,Y,"12,000",Conductor - Primary,Overhead,Y,10/1/2020,12:05,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,EI201001A
1318,PG&E,9/29/2020,2020,9,29,16:22,38.245509,-121.76179,Vegetation,Herbaceous,1 meter - < 3 meters,Customer,N.A.,Pole ID: 101582151,Y,"12,000",Pole,Overhead,Y,9/29/2020,16:36,Contact from object,N.A.,Vehicle,Pole,N.A.,,
1314,PG&E,9/29/2020,2020,9,29,1:40,38.83678,-122.029068,Vegetation,Herbaceous,3 meters - 0.25 Acres,Utility - PG&E,N.A.,Circuit ID: 102841102,N,"12,000",Conductor - Primary,Overhead,Y,9/29/2020,1:22,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1310,PG&E,9/28/2020,2020,9,28,18:21,37.965176,-122.138831,Vegetation,Hardwood Woodland,3 meters - 0.25 Acres,Customer,N.A.,1006560423,Y,"12,000",Service Drop,Overhead,Y,9/28/2020,18:19,Unknown,Conductor failure-all,N.A.,N.A.,Unknown,"Unknown as to what caused the initial failure, but initial investigation found the ignition to be attributable to PG&E facilities.",
1623,PG&E,9/28/2020,2020,9,28,15:51,39.65306,-121.449352,Vegetation,Conifer Forest,3 meters - 0.25 Acres,Cal Fire,N.A.,Circuit ID: 103751102,Y,"12,000",Conductor - Primary,Overhead,Y,9/28/2020,15:45,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1309,PG&E,9/28/2020,2020,9,28,13:35,37.957961,-122.273589,Other,Urban,3 meters - 0.25 Acres,Fire Agency,Richmond FD,14341106,Y,"12,000",Conductor - Insulated Secondary,Overhead,N,N.A.,N.A.,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1308,PG&E,9/28/2020,2020,9,28,8:57,37.52923,-121.99005,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Fremont FD,Pole ID: 100946344,Y,"12,000",Pole,Overhead,Y,9/28/2020,8:40,Contact from object,N.A.,Vehicle,Pole,N.A.,,
1368,PG&E,9/27/2020,2020,9,27,14:48,40.539222,-122.56662,Vegetation,Hardwood Forest,100 + Acres,Cal Fire,N.A.,N.A.,N.A.,"12,000",N.A.,Overhead,Y,9/27/2020,14:48,Under Investigation,N.A.,N.A.,N.A.,N.A.,PG&E has included the Zogg Fire in this ignition report because CAL FIRE has announced that the cause of the Zogg Fire was a pine tree contacting PG&E overhead electric lines.  PG&E's investigation into the cause of the Zogg Fire is ongoing.,EI200927A
1304,PG&E,9/27/2020,2020,9,27,19:32,38.27363,-122.57607,Vegetation,Herbaceous,3 meters - 0.25 Acres,Fire Agency,Petaluma FD,Circuit ID: 043371102 between Pole ID: 101990098 and 102005005,Y,"12,000",Automatic Wire Splice,Overhead,Y,9/27/2020,19:24,Equipment - PG&E,Splice/Clamp/Connector,N.A.,N.A.,N.A.,,
1300,PG&E,9/27/2020,2020,9,27,16:56,37.7884817,-121.7699533,Vegetation,Urban,0.25 - 10 Acres,Fire Agency,San Ramon FD,"Circuit ID: 014422109, Fuse: 71415",Y,"21,000",Fuse,Overhead,Y,9/27/2020,16:24,Equipment - PG&E,Fuse failure - all,N.A.,N.A.,N.A.,,
1297,PG&E,9/27/2020,2020,9,27,15:30,40.44915,-122.30893,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Anderson FD,"Circuit ID: 103261101, SAP ID: 101496897",Y,"12,000",Service Drop,Overhead,Y,9/27/2020,15:27,Contact from object,N.A.,Vegetation,Service Drop,N.A.,,
1295,PG&E,9/27/2020,2020,9,27,8:11,37.9970867,-123.0156333,Vegetation,Shrub,0.25 - 10 Acres,Cal Fire,N.A.,Circuit 042291101 Pole ID:102246615,Y,"12,000",Conductor - Primary,Overhead,Y,9/27/2020,9:13,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1764,PG&E,9/26/2020,2020,9,26,20:16,39.12809,-121.639179,Vegetation,Urban,Unknown,Fire Agency,Yuba City Fire dept,"101300049	",Y,"12,000",Insulator,Overhead,N,N.A.,N.A.,Equipment - PG&E,Insulator failure,N.A.,N.A.,N.A.,"Unknown whether meets reportability threshold, but confirmed to be attributable to PG&E.",
1288,PG&E,9/24/2020,2020,9,24,15:44,39.2652567,-121.5293633,Vegetation,Agriculture,3 meters - 0.25 Acres,Cal Fire,N.A.,Circuit ID: 103211102 ,Y,"12,000",Conductor - Primary,Overhead,Y,9/24/2020,16:01,Contact from object,N.A.,Vehicle,Conductor - Primary,N.A.,,
1284,PG&E,9/23/2020,2020,9,23,15:31,38.2262883,-122.5311867,Vegetation,Herbaceous,10 - 100 Acres,Cal Fire,N.A.,Pole ID: 103999142,Y,"12,000",Pole,Overhead,Y,9/23/2020,15:23,Contact from object,N.A.,Vehicle,Pole,N.A.,,
1283,PG&E,9/23/2020,2020,9,23,12:17,37.6869067,-122.14699,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Alco FD,Circuit ID: 013111110,Y,"12,000",Conductor - Primary,Overhead,Y,9/23/2020,12:02,Contact from object,N.A.,Balloon,Conductor - Primary,N.A.,,
1282,PG&E,9/23/2020,2020,9,23,10:26,36.81848,-121.45068,Vegetation,Herbaceous,10 - 100 Acres,Cal Fire,N.A.,Circuit ID: 182742101 ,N,"21,000",Conductor - Primary,Overhead,Y,9/23/2020,23:31,Contact from object,N.A.,Animal,Conductor - Primary,N.A.,,
1279,PG&E,9/22/2020,2020,9,22,10:32,38.096469,-121.521445,Vegetation,Agriculture,3 meters - 0.25 Acres,Customer,N.A.,Circuit ID: 062462224,Y,"21,000",Conductor - Primary,Overhead,Y,9/22/2020,7:44,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1276,PG&E,9/21/2020,2020,9,21,19:51,38.60626,-121.02263,Vegetation,Herbaceous,0.25 - 10 Acres,Cal Fire,N.A.,Circuit ID: 153612103,Y,"12,000",Conductor - Primary,Overhead,Y,9/21/2020,19:40,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1766,PG&E,9/21/2020,2020,9,21,12:05,39.4684733,-121.5774917,Building,Urban,Unknown,Self Extinguished,N.A.,100359938,Y,"12,000",Pole,Overhead,Y,9/21/2020,11:56,Equipment - PG&E,Pole failure,N.A.,N.A.,N.A.,"Unknown whether meets reportability threshold, but confirmed to be attributable to PG&E.",
1274,PG&E,9/20/2020,2020,9,20,11:50,36.5333883,-121.4238217,Vegetation,Barren/Other,3 meters - 0.25 Acres,Fire Agency,Gonzales FD,Circuit ID: 182131101,Y,"12,000",Conductor - Primary,Overhead,Y,9/20/2020,11:46,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1271,PG&E,9/18/2020,2020,9,18,21:52,34.413213,-119.081145,Vegetation,Shrub,3 meters - 0.25 Acres,Fire Agency,Kern County FD,Circuit ID: 253391106 ,Y,"12,000",Conductor - Primary,Overhead,Y,9/18/2020,21:50,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1270,PG&E,9/18/2020,2020,9,18,17:49,38.718824,-121.784135,Vegetation,Agriculture,1 meter - < 3 meters,Fire Agency,Willow Creek FD,Circuit ID: 063191105,Y,"12,000",Conductor - Primary,Overhead,Y,9/18/2020,16:38,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1268,PG&E,9/18/2020,2020,9,18,15:20,38.426345,-122.6845133,Vegetation,Hardwood Forest,1 meter - < 3 meters,Fire Agency,Santa Rosa FD,Circuit ID: 042151111 ,Y,750,Conductor - Secondary,Overhead,Y,9/18/2020,15:52,Contact from object,N.A.,Vegetation,Conductor - Secondary,N.A.,,
1265,PG&E,9/17/2020,2020,9,17,14:19,36.555105,-119.242165,Vegetation,Agriculture,3 meters - 0.25 Acres,Fire Agency,Tulare County FD,Pole ID: 100725983,N,"12,000",Guy/Span Wire,Overhead,Y,9/17/2020,13:58,Contact from object,N.A.,Vehicle,Guy/Span Wire,N.A.,,
1263,PG&E,9/17/2020,2020,9,17,8:54,38.833792,-121.189394,Other,Urban,1 meter - < 3 meters,Unknown,N.A.,3423,N,"12,000",Pothead,Overhead,Y,9/17/2020,8:47,Contact from object,N.A.,Animal,Pothead,N.A.,,
1258,PG&E,9/16/2020,2020,9,16,16:47,37.691001,-122.412634,Vegetation,Urban,0.25 - 10 Acres,Cal Fire,Cal Fire/Brisbane FD,Switch: 2849,Y,"12,000",Splice/Clamp/Connector,Overhead,Y,9/16/2020,16:35,Equipment - PG&E,Fuse failure - all,N.A.,N.A.,N.A.,,
1253,PG&E,9/14/2020,2020,9,14,6:11,36.01766,-119.47365,Vegetation,Herbaceous,3 meters - 0.25 Acres,Cal Fire,N.A.,046/346,N,"115,000",Conductor - Transmission,Overhead,Y,9/14/2020,6:02,Contact from object,N.A.,Animal,Conductor - Transmission,N.A.,,
1244,PG&E,9/12/2020,2020,9,12,14:29,37.8796667,-120.4571033,Vegetation,Urban,0.25 - 10 Acres,Cal Fire,N.A.,Circuit ID: 163781701,N,"17,000",Conductor - Secondary,Overhead,N,N.A.,N.A.,Contact from object,N.A.,Vehicle,Conductor - Secondary,N.A.,,
1238,PG&E,9/11/2020,2020,9,11,10:34,38.95639912,-121.1061578,Other,Hardwood Woodland,1 meter - < 3 meters,Fire Agency,Auburn FD,Fuse: 9953,Y,"12,000",Fuse,Overhead,Y,9/11/2020,10:24,Contact from object,N.A.,Animal,Fuse,N.A.,,
1225,PG&E,9/9/2020,2020,9,9,10:48,38.168543,-120.39128,Vegetation,Shrub,0.25 - 10 Acres,Cal Fire,N.A.,Eqp ID: 79826,N,"17,000",Recloser,Padmounted,Y,9/9/2020,10:53,Equipment - PG&E,Recloser failure,N.A.,N.A.,N.A.,,
1219,PG&E,9/8/2020,2020,9,8,22:02,40.018248,-122.087647,Vegetation,Agriculture,3 meters - 0.25 Acres,Cal Fire,N.A.,Circuit ID: 103481102 ,Y,"12,000",Conductor - Primary,Overhead,Y,9/8/2020,20:55,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1216,PG&E,9/8/2020,2020,9,8,18:18,38.4478783,-121.8583117,Vegetation,Agriculture,3 meters - 0.25 Acres,Fire Agency,Dixon FD,Circuit ID: 062061106,Y,"12,000",Conductor - Primary,Overhead,Y,9/8/2020,18:12,Contact from object,N.A.,Animal,Conductor - Primary,N.A.,,
1209,PG&E,9/8/2020,2020,9,8,14:41,37.653499,-121.673915,Other,Agriculture,0.25 - 10 Acres,Cal Fire,N.A.,Circuit ID: 013751102,Y,"12,000",Conductor - Primary,Overhead,Y,9/8/2020,14:30,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1204,PG&E,9/8/2020,2020,9,8,11:21,40.437373,-122.299072,Other,Urban,1 meter - < 3 meters,Fire Agency,Anderson FD,Circuit ID: 103261101,Y,"12,000",Conductor - Secondary,Overhead,Y,9/8/2020,11:20,Contact from object,N.A.,Vegetation,Conductor - Secondary,N.A.,,
1200,PG&E,9/8/2020,2020,9,8,3:06,40.1864933,-122.21408,Vegetation,Urban,0.25 - 10 Acres,Cal Fire,N.A.,"Circuit ID: 103531103, SAP Eqp ID: 101544948",Y,"12,000",Pole,Overhead,Y,9/8/2020,3:39,Equipment - PG&E,#N/A,N.A.,N.A.,N.A.,,
1199,PG&E,9/8/2020,2020,9,8,2:33,40.4683953,-122.3113687,Vegetation,Urban,3 meters - 0.25 Acres,Cal Fire,N.A.,"Circuit ID: 103441102, SAP ID: 101496111, 101496112",Y,"12,000",Conductor - Primary,Overhead,Y,9/8/2020,1:45,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1281,PG&E,9/7/2020,2020,9,7,4:26,37.948679,-122.520107,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Central Marin FD,Meter: 1007683605,Y,750,Service Drop,Overhead,Y,9/7/2020,4:26,Contact from object,N.A.,Vegetation,Service Drop,N.A.,,
1197,PG&E,9/7/2020,2020,9,7,18:04,37.000816,-121.885086,Vegetation,Conifer Forest,1 meter - < 3 meters,Fire Agency,Rio Del Mar FD,Circuit ID: 083692105,Y,"21,000",Conductor - Primary,Overhead,Y,9/7/2020,18:30,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1195,PG&E,9/7/2020,2020,9,7,16:18,38.83104154,-123.0471393,Vegetation,Hardwood Forest,3 meters - 0.25 Acres,Cal Fire,N.A.,"Circuit ID: 042821101, SAP ID: 101964553",Y,"12,000",Conductor - Primary,Overhead,Y,9/7/2020,16:14,Contact from object,N.A.,Other,Conductor - Primary,Weather,Communication line making contact with Primary,
1193,PG&E,9/7/2020,2020,9,7,11:27,36.5459317,-121.3914033,Other,Herbaceous,0.25 - 10 Acres,Fire Agency,Gonzales FD,Structure: 018/093; SAP Eqp: 40650909,N,"115,000",Conductor - Transmission,Overhead,Y,9/7/2020,10:58,Contact from object,N.A.,Animal,Conductor - Transmission,N.A.,,
1190,PG&E,9/6/2020,2020,9,6,20:58,37.01735,-122.12241,Vegetation,Conifer Forest,0.25 - 10 Acres,Cal Fire,Cal Fire & Scotts Valley FD,Circuit ID: 083252107 ,Y,"21,000",Conductor - Primary,Overhead,Y,9/6/2020,17:07,Contact from object,N.A.,Vehicle,Conductor - Primary,N.A.,,
1185,PG&E,9/6/2020,2020,9,6,16:47,36.87369593,-121.5854286,Vegetation,Hardwood Forest,0.25 - 10 Acres,Cal Fire,N.A.,CGC: 412443857077,Y,"12,000",Transformer,Overhead,Y,9/6/2020,16:39,Equipment - PG&E,Transformer failure,N.A.,N.A.,N.A.,,
1184,PG&E,9/6/2020,2020,9,6,14:29,41.249253,-123.766946,Vegetation,Conifer Forest,0.25 - 10 Acres,Cal Fire,N.A.,Circuit ID: 192401101,Y,"12,000",Conductor - Primary,Overhead,Y,9/6/2020,14:27,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1183,PG&E,9/6/2020,2020,9,6,13:09,37.7976833,-121.4547817,Other,Agriculture,3 meters - 0.25 Acres,Fire Agency,Tracy FD,Circuit ID: 162881106,Y,"12,000",Conductor - Primary,Overhead,N,N.A.,N.A.,Contact from object,N.A.,Balloon,Conductor - Primary,N.A.,,
1182,PG&E,9/6/2020,2020,9,6,13:04,38.9551,-123.591078,Other,Conifer Forest,1 meter - < 3 meters,Cal Fire,N.A.,Circuit ID: 043381101 ,Y,"12,000",Service Drop,Overhead,N,N.A.,N.A.,Equipment - PG&E,Transformer failure,N.A.,N.A.,N.A.,,
1181,PG&E,9/6/2020,2020,9,6,12:49,34.602574,-120.146235,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Santa Barbara County FD,Circuit ID: 183041102,Y,"12,000",Conductor - Open Wire Secondary,Overhead,Y,9/6/2020,12:46,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1180,PG&E,9/6/2020,2020,9,6,9:00,35.5055033,-119.6895333,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Kern County FD,Pole ID: 100238348,Y,"12,000",Pole,Overhead,Y,9/6/2020,8:41,Contact from object,N.A.,Vehicle,Pole,N.A.,,
1178,PG&E,9/5/2020,2020,9,5,20:57,40.112855,-123.749815,Other,Herbaceous,3 meters - 0.25 Acres,Cal Fire,N.A.,44913382,N,"60,000",Conductor - Transmission,Overhead,N,N.A.,N.A.,Contact from object,N.A.,Animal,Conductor - Transmission,N.A.,,
1176,PG&E,9/5/2020,2020,9,5,15:37,39.2002717,-120.8382733,Other,Conifer Forest,3 meters - 0.25 Acres,Cal Fire,N.A.,1327,N,"12,000",Switch,Overhead,N,N.A.,N.A.,Equipment - PG&E,Switch failure,N.A.,N.A.,N.A.,,
1174,PG&E,9/5/2020,2020,9,5,7:50,37.23621,-121.93641,Vegetation,Hardwood Woodland,3 meters - 0.25 Acres,Fire Agency,Santa Clara County FD,"Circuit ID: 083431116, SAP ID: 100516737",Y,"12,000",Conductor - Primary,Overhead,Y,9/5/2020,7:44,Contact from object,N.A.,Animal,Conductor - Primary,N.A.,,
1173,PG&E,9/5/2020,2020,9,5,7:59,36.5865717,-121.6016483,Other,Urban,3 meters - 0.25 Acres,Cal Fire,N.A.,Circuit ID: 182731102,Y,"12,000",Splice/Clamp/Connector,Overhead,Y,9/5/2020,7:38,Equipment - PG&E,Splice/Clamp/Connector,N.A.,N.A.,N.A.,,
1171,PG&E,9/4/2020,2020,9,4,15:21,37.487902,-122.211859,Other,Urban,1 meter - < 3 meters,Fire Agency,Redwood City FD,Circuit ID: 024161102,Y,"12,000",Conductor - Primary,Overhead,Y,9/4/2020,15:20,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1168,PG&E,9/3/2020,2020,9,3,13:01,34.666474,-120.132763,Other,Herbaceous,0.25 - 10 Acres,Fire Agency,Santa Barbara County FD,Circuit ID: 182721104,Y,"12,000",Conductor - Primary,Overhead,Y,9/3/2020,12:45,Equipment - PG&E,Pole failure,N.A.,N.A.,N.A.,,
1159,PG&E,9/1/2020,2020,9,1,12:04,34.8975917,-120.2976117,Vegetation,Agriculture,1 meter - < 3 meters,Customer,N.A.,CGC: 513113551650 ,N,"12,000",Splice/Clamp/Connector,Overhead,Y,9/1/2020,13:16,Equipment - PG&E,Splice/Clamp/Connector,N.A.,N.A.,N.A.,,
1158,PG&E,9/1/2020,2020,9,1,11:15,39.40851031,-121.2899763,Vegetation,Conifer Forest,0.25 - 10 Acres,Cal Fire,N.A.,Circuit ID: 103201102,N,"12,000",Conductor - Primary,Overhead,Y,9/1/2020,10:15,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1154,PG&E,8/31/2020,2020,8,31,10:28,38.641423,-121.589527,Other,Agriculture,3 meters - 0.25 Acres,Fire Agency,West Sacramento FD,Capacitor Bank: C497,Y,"12,000",Capacitor Bank,Overhead,N,N.A.,N.A.,Equipment - PG&E,Capacitor bank failure,N.A.,N.A.,N.A.,,
1151,PG&E,8/30/2020,2020,8,30,23:50,37.6877867,-121.4161867,Vegetation,Urban,3 meters - 0.25 Acres,Fire Agency,Tracy FD,Circuit ID: 163091101; SAP ID: 102054685,Y,"12,000",Conductor - Primary,Overhead,Y,8/30/2020,22:40,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1149,PG&E,8/30/2020,2020,8,30,13:30,36.78185,-119.81126,Vegetation,Urban,1 meter - < 3 meters,Unknown,N.A.,Meter: 1004234040,Y,750,Service Drop,Overhead,Y,8/30/2020,14:29,Equipment - PG&E,Conductor failure-all,N.A.,N.A.,N.A.,,
1148,PG&E,8/30/2020,2020,8,30,13:24,39.486,-121.5062,Vegetation,Urban,1 meter - < 3 meters,Cal Fire,N.A.,"Circuit ID: 102911107, SAP ID: 100395767",Y,"12,000",Conductor - Primary,Overhead,Y,8/30/2020,13:17,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1139,PG&E,8/26/2020,2020,8,26,13:23,39.563799,-123.402385,Vegetation,Conifer Forest,0.25 - 10 Acres,Cal Fire,Cal Fire Mendocino Unit,Circuit ID: 042681102,Y,"12,000",Conductor - Primary,Overhead,Y,8/26/2020,13:19,Contact from object,N.A.,Vegetation,Conductor - Primary,N.A.,,
1135,PG&E,8/26/2020,2020,8,26,16:05,38.113086,-121.402998,Other,Herbaceous,3 meters - 0.25 Acres,Fire Agency,Woodbridge FD,Fuse: 3783,Y,"21,000",Fuse,Overhead,Y,8/26/2020,15:11,Equipment - PG&E,Fuse failure - all,N.A.,N.A.,N.A.,,
1141,PG&E,8/25/2020,2020,8,25,7:50,37.91855,-122.55477,Vegetation,Hardwood Forest,1 meter - < 3 meters,Self Extinguished,N.A.,Fuse: 2443,Y,"12,000",Fuse,Overhead,Y,8/25/2020,6:15,Equipment - PG&E,Fuse failure - all,N.A.,N.A.,N.A.,,
1131,PG&E,8/25/2020,2020,8,25,20:47,38.8460667,-121.3958167,Other,Agriculture,3 meters - 0.25 Acres,Cal Fire,N.A.,Circuit ID: 152442110,Y,"21,000",Jumper,Overhead,Y,8/25/2020,20:46,Equipment - PG&E,#N/A,N.A.,N.A.,N.A.,,
1130,PG&E,8/25/2020,2020,8,25,18:00,38.846093,-121.37759,Other,Agriculture,3 meters - 0.25 Acres,Cal Fire,N.A.,Circuit ID: 152442110,Y,"21,000",Conductor - Primary,Overhead,Y,8/25/2020,15:30,Contact from object,N.A.,Balloon,Conductor - Primary,N.A.,,
