,date,time,latitude,longitude,material_at_origin,land_use_at_origin,size,suppressed_by,suppressing_agency,facility_identification,other_companies,voltage_volts_,equipment_involved_with_ignition,type,was_there_an_outage,date_1,time_1,suspected_ignition_cause,equipment_facility_failure,contact_from_object,facility_contacted,contributing_factor,facility_identification_circuit,suspected_initiating_event,unnamed_23
7,2015-04-18,12:00.00,32.7764,-116.9309,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P677849,,220v,Conductor,Overhead,No,,,,Capacitor Bank,Vegetation,Electric Facility,None,,Contact From Object,
8,2015-04-28,13:30.00,32.8917,-116.8419,Vegetation,Rural,Less Than .25 Acres,Customer,,P176657,none,12kV,Conductor,Overhead,Yes,2015-04-28,13:30:00,,Conductor,Vehicle,Electric Facility,Human Error,,Contact From Object,
9,2015-04-29,12:00.00,32.6061,-116.69604,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P175961,none,12kV,Conductor,Overhead,Yes,2015-04-29,12:00:00,,Splice/Clamp/Connector,Vegetation,,Unknown,,Equipment/Facility Failure,
10,2015-05-17,06:55.00,33.1808,-117.2064,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,P15839,,12kV,Conductor,Overhead,Yes,2015-05-17,07:06:00,,Insulator,Other,Electric Facility,,,Contact From Object,
11,2015-05-28,12:45.00,32.7265,-116.9922,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,P196508,,12kV,Conductor,Overhead,Yes,2015-05-28,12:45:00,,Lightning Arrestor,Balloons,Electric Facility,None,,Contact From Object,
12,2015-06-09,05:50.00,32.9003,-117.2309,Vegetation,Urban,Less Than .25 Acres,Fire Agency,S.D. City,Z63404,,69kV,Conductor,Overhead,Yes,2015-06-09,05:45:00,,Pole,Animal,Electric Facility,Outside Force,,Contact From Object,
13,2015-07-07,15:00.00,32.7443,-117.0498,Vegetation,Urban,Less Than .25 Acres,Utility,,Z371043 Cir. 160,,12kV,Conductor,Overhead,Yes,2015-07-07,13:00:00,,Guy/Span Wire,Other,Electric Facility,Human Error,,Contact From Object,
14,2015-07-13,23:45.00,32.76297,-116.89948999999999,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,Z971870 Cir 23041,,230kV,Conductor,Overhead,No,,,,Other,Balloons,Electric Facility,Outside Force,,Contact From Object,
15,2015-07-17,09:48.00,33.175042,-117.0125,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P213348,,12kV,Conductor,Overhead,No,,,,Protective Relay,Vegetation,Communication Facility,Human Error,,Contact From Object,
16,2015-07-27,14:30.00,33.0665,-116.579,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P212006,,12kV,Conductor,Overhead,Yes,2015-07-27,14:30:00,,Crossarm,Vegetation,Electric Facility,None,,Contact From Object,
17,2015-08-08,10:00.00,33.1973,-117.2308,Vegetation,Urban,Less Than .25 Acres,Customer,,P17530J,,4kV,Conductor,Overhead,Yes,2015-08-08,10:00:00,,,Balloons,Electric Facility,None,,Contact From Object,
18,2015-08-13,20:33.00,33.245709999999995,-116.6769,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P19586,,12Kv,Conductor,Overhead,Yes,2015-08-13,20:33:00,,Conductor,,,Unknown,,Unknown,
19,2015-08-15,17:30.00,32.74172,-116.9685,Other,Urban,Less Than .25 Acres,Customer,,P273868,,4Kv,Other,Overhead,No,,,,Splice/Clamp/Connector,Other,,None,,Equipment/Facility Failure,
20,2015-08-23,15:00.00,32.272909999999996,-117.1521,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CAL FIRE,P415300,,12kV,Conductor,Overhead,Yes,2015-08-23,15:00:00,,,Vegetation,Electric Facility,Weather,,Contact From Object,
21,2015-09-01,08:50.00,32.669000000000004,-116.286,Vegetation,Rural,Less Than .25 Acres,Utility,,P41145 cir. 445,,12kV,Conductor,Overhead,Yes,2015-09-01,08:50:00,,Conductor,,,None,,Equipment/Facility Failure,
22,2015-09-01,18:01.00,32.7595,-117.0671,Vegetation,Urban,Less Than .25 Acres,Self Extinguished,,P270259 cir. RD4,,4kV,Conductor,Overhead,No,,,,,Vehicle,Electric Facility,Human Error,,Contact From Object,
23,2015-09-02,18:18.00,33.1867,-117.20200000000001,Vegetation,Urban,Less Than .25 Acres,Self Extinguished,,P111781 cir. 859,,12kV,Conductor,Overhead,Yes,2015-09-01,18:11:00,,,Vehicle,Electric Facility,Human Error,,Contact From Object,
24,2015-09-08,11:45.00,33.0726,-116.74355,Vegetation,Rural,Less Than .25 Acres,Utility,CAL FIRE,P416995 cir 222,none,12Kv,Switch,Overhead,Yes,2015-09-08,11:45:00,,Switch,,,None,,Equipment/Facility Failure,
