,date,time,latitude,longitude,material_at_origin,land_use_at_origin,size,suppressed_by,suppressing_agency,facility_identification,other_companies,voltage_volts_,equipment_involved_with_ignition,type,was_there_an_outage,date_1,time_1,suspected_ignition_cause,equipment_facility_failure,contact_from_object,facility_contacted,contributing_factor,facility_identification_circuit,suspected_initiating_event,unnamed_23
6,2021-05-19,11:00.00,32.834,-117.1834,Vegetation,Urban,Less Than .25 Acres,Utility,,Z92509,,12kv,Conductor,Overhead,No,,,Wire-Wire Contact,,,,Human Error,,,
7,2021-05-24,13:40.00,32.742,-117.145,Vegetation,Urban,Less Than .25 Acres,Fire Agency,San Diego FD,P2107172488,,120v,Conductor,Overhead,Yes,2021-05-24,13:40:00,Contact From Object,,Vegetation,Electric Facility,None,,,
8,2021-06-13,12:00.00,33.026496,-116.858005,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Ramona CAL FIRE,P107449,,12kv,Conductor,Overhead,Yes,2021-06-13,12:00:00,Contact From Object,,Balloons,Electric Facility,Other,,,
9,2021-06-16,14:27.00,33.3483319,-116.73244070000001,Vegetation,Rural,Less Than .25 Acres,Utility,,P239535,,12kv,Switch,Overhead,Yes,2021-06-16,14:27:00,Equipment/Facility Failure,Switch,,,Unknown,,,
10,2021-06-17,09:51.00,32.6037431,-116.61134960000001,Vegetation,Rural,Less Than .25 Acres,Utility,,P176917,,12kV,Conductor,Overhead,Yes,2021-06-17,09:52:00,Equipment/Facility Failure,Conductor,,,Unknown,,,
11,2021-06-18,10:51.00,33.146182,-117.047751,Other,Urban,Less Than .25 Acres,Fire Agency,Escondido,"Z314050, 456-23CW, C456",telco,12kV,Capacitor Bank,Overhead,Yes,2021-06-18,10:51:00,Equipment/Facility Failure,Capacitor Bank,,,None,,,
12,2021-07-01,07:42.00,33.280590000000004,-117.15741499999999,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE/ NCFPD,P119250,,12kV,Conductor,Overhead,Yes,2021-07-01,07:42:00,Vandalism/Theft,Conductor,,,Outside Force,,,
13,2021-07-14,18;26,32.5038,-116.5553,Vegetation,Urban,Less Than .25 Acres,Self Extinguished,,372756J,,12kv,Other,Overhead,No,,,Equipment/Facility Failure,Conductor,,,Unknown,,,
14,2021-07-18,06:18.00,33.262,-117.429,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,Z21137,,12kv,Other,Overhead,No,,,Other,,,,Weather,,,
15,2021-07-24,15:19.00,32.705811600000004,-116.7315325,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CAL FiRE/ USFS,P74739,,12kv,Other,Overhead,Yes,2021-07-24,15:19:00,Contact From Object,,Animal,Electric Facility,Outside Force,,,
16,2021-07-28,13:51.00,33.228189,-116.98295300000001,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CAL FIRE,Z16445,,12kv,Conductor,Overhead,Yes,2021-07-28,13:51:00,Contact Between Third Party Facility on Pole and Supply Lines,,,,Human Error,,,
17,2021-07-29,18:31.00,33.099329,-117.06615900000001,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Escondido,P511401,,240v,Conductor,Overhead,Yes,2021-07-29,18:31:00,Contact From Object,,Vegetation,Electric Facility,Outside Force,,,
18,2021-08-06,14:00.00,32.716,-116.814,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL Fire,P278802,,240v,Conductor,Overhead,No,,,Equipment/Facility Failure,Splice/Clamp/Connector,,,Weather,,,
19,2021-08-07,11:00.00,32.824,-116.913,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Lakeside FD,P73808,,12kv,Conductor,Overhead,Yes,2021-08-07,11:08:00,Contact From Object,,Balloons,Electric Facility,Outside Force,,,
20,2021-08-25,05:25.00,33.082718,-116.969755,Vegetation,Rural,Less Than .25 Acres,Fire Agency,San Diego FD,P11679,,12kv,Conductor,Overhead,Yes,2021-08-25,05:25:00,Equipment/Facility Failure,Splice/Clamp/Connector,,,Other,,,
21,2021-10-01,00:00.00,32.69233,-116.960475,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,FWS,Z971845,,230kV,Other,Overhead,Yes,2021-10-01,1903-04-16 00:00:00,Contact From Object,,Balloons,Electric Facility,Unknown,,,
22,2021-11-30,09:46.00,32.856134999999995,-116.960475,Vegetation,Urban,Less Than .25 Acres,Customer,,Z173078,,12kv,Switch,Overhead,Yes,2021-11-30,09:46:00,Contact From Object,,Animal,Electric Facility,Outside Force,,,
23,2021-12-03,12:20.00,32.568000000000005,-116.962,Vegetation,Urban,Less Than .25 Acres,Fire Agency,San Diego FD,P226534,,12kv,Switch,Overhead,Yes,2021-12-03,1902-11-13 12:20:00,Contact From Object,,Animal,Electric Facility,Outside Force,,,
24,2021-12-06,14:13.00,32.676206,-116.728645,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P372261,,12kV,Other,Overhead,Yes,2021-12-06,14:13:00,Equipment/Facility Failure,Splice/Clamp/Connector,,,Unknown,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,
0,2020-01-29,19:00.00,33.41486,-117.581088,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Camp Pendleton FD,Z100041,,230kV,Lightning Arrestor,Overhead,Yes,2020-01-29,19:00:00,Equipment/Facility Failure,Other,,,Weather,,,
1,2020-02-11,01:30.00,32.791006,-116.91940100000001,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Heartland Fire,P477433J,telco,12kV,Conductor,Overhead,Yes,2020-02-11,01:13:00,Equipment/Facility Failure,Splice/Clamp/Connector,,,Outside Force,,,
2,2020-02-26,00:17.00,32.914,-116.64,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Cal Fire,P972695,,12kV,Lightning Arrestor,Overhead,Yes,2020-02-26,00:17:00,Equipment/Facility Failure,Lightning Arrestor,,,Unknown,,,
3,2020-05-17,08:52.00,33.23734,-117.030142,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P515883,,12kV,Conductor,Overhead,Yes,2020-05-17,08:52:00,Contact From Object,Conductor,Balloons,,Other,,,
4,2020-05-31,02:01.00,32.543015999999994,-117.02771299999999,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Chula Vista,P83770,,12kV,Conductor,Overhead,Yes,2020-05-31,01:42:00,Contact From Object,,Balloons,Electric Facility,Outside Force,,,
5,2020-06-02,18:00.00,33.07,-116.863,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Cal Fire,P111476,,12kv,Conductor,Overhead,Yes,2020-06-02,18:00:00,Contact From Object,,Vehicle,Pole,Human Error,,,
6,2020-06-03,11:17.00,33.1234,-117.025,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Escondido,P714414,,12kv,Transformer,Overhead,Yes,2020-06-03,11:17:00,Contact From Object,,Animal,Electric Facility,None,,,
7,2020-06-26,05:50.00,33.353398999999996,-117.51683600000001,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Camp Pendleton FD,Z222452,,230kV,Conductor,Overhead,Yes,2020-06-26,05:50:00,Unknown,,,,Unknown,,,
8,2020-07-05,14:08.00,33.08719,-116.985551,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,"SDFR, Cal Fire",P14263,telco,12kV,Lightning Arrestor,Overhead,Yes,2020-07-05,20:55:00,Equipment/Facility Failure,Lightning Arrestor,,,Unknown,,,
9,2020-07-17,16:30.00,33.090351,-116.579773,Vegetation,Rural,Less Than .25 Acres,Customer,,P115116  ,telco,12kV,Transformer,Overhead,Yes,2020-07-17,,Contact From Object,,Animal,Electric Facility,None,,,
10,2020-07-26,13:44.00,32.819041,-116.956149,Vegetation,Urban,Less Than .25 Acres,Customer,,P101639,,12kV,Fuse,Overhead,Yes,2020-07-26,13:44:00,Equipment/Facility Failure,Fuse,,,Unknown,,,
11,2020-07-29,17:14.00,32.736999999999995,-116.875,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P678395,,12kV,Conductor,Overhead,Yes,2020-07-29,17:12:00,Equipment/Facility Failure,Splice/Clamp/Connector,,,Unknown,,,
12,2020-08-01,11:11.00,32.631,-116.17399999999999,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CAL FIRE,P45248,,12kV,Other,Overhead,Yes,2020-08-01,11:10:00,Equipment/Facility Failure,Other,,,Unknown,,,
13,2020-08-18,13:16.00,32.624809,-117.09603100000001,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Chula Vista,P192585,,12kV,Switch,Overhead,Yes,2020-08-18,13:29:00,Equipment/Facility Failure,Switch,,,Unknown,,,
14,2020-08-22,13:38.00,33.074416,-116.57733999999999,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P31591,,Secondary,Conductor,Overhead,Yes,2020-08-22,13:38:00,Equipment/Facility Failure,Conductor,,,Unknown,,,
15,2020-08-31,14:05.00,33.109,-117.005544,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Escondido,P310132,,12kV,Conductor,Overhead,Yes,2020-08-31,14:05:00,Contact From Object,Conductor,Vehicle,Pole,Other,,,
16,2020-09-02,19:30.00,33.361999999999995,-117.13600000000001,Vegetation,Rural,Less Than .25 Acres,Utility,,P215301,,12kV,Conductor,Overhead,Yes,2020-09-02,19:30:00,Equipment/Facility Failure,Splice/Clamp/Connector,,,None,,,
17,2020-09-04,20:30.00,33.065821,-116.85921699999999,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CAL FIRE,P216155,telco,12kV,Conductor,Overhead,Yes,2020-09-04,20:30:00,Contact From Object,,Vehicle,Pole,Other,,,
18,2020-09-05,14:30.00,32.793,-116.96700000000001,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Heartland Fire,P194421,,120v,Conductor,Overhead,Yes,2020-09-05,14:30:00,Contact From Object,,Vegetation,Electric Facility,Outside Force,,,
19,2020-09-06,23:00.00,33.096484000000004,-117.02370400000001,Vegetation,Urban,Less Than .25 Acres,Fire Agency,NCFPD,P319486,,12kV,Transformer,Overhead,Yes,2020-09-06,23:00:00,Equipment/Facility Failure,Transformer,,,None,,,
20,2020-09-12,05:30.00,33.105554999999995,-117.00022,Vegetation,Rural,Less Than .25 Acres,Self Extinguished,,P614833,,12kv,Lightning Arrestor,Overhead,Yes,2020-09-12,05:30:00,Equipment/Facility Failure,Lightning Arrestor,,,None,,,
21,2020-09-12,07:00.00,33.0872,-116.9856,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CAL FIRE,P14263,,12kV,Capacitor Bank,Overhead,Yes,2020-09-12,07:00:00,Equipment/Facility Failure,Capacitor Bank,,,None,,,
22,2020-09-17,10:00.00,33.110132,-117.26933100000001,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Carlsbad,P202732,,12kV,Conductor,Overhead,Yes,2020-09-17,10:00:00,Equipment/Facility Failure,Other,,,None,,,
23,2020-09-30,10:45.00,33.054689,-116.89133054,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Cal Fire,P619632,,Secondary,Conductor,Overhead,Yes,2020-09-30,10:45:00,Equipment/Facility Failure,Conductor,,,Unknown,,,
24,2020-10-14,15:05.00,33.027,-116.889,Vegetation,Urban,Less Than .25 Acres,Fire Agency,CAL FIRE,P612927,telco,12kv,Lightning Arrestor,Overhead,No,1900-01-10,,Equipment/Facility Failure,Lightning Arrestor,,,Unknown,,,
25,2020-10-14,16:51.00,32.865,-116.66,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,USFS CNF,P257762,,12kV,Lightning Arrestor,Overhead,Yes,2020-10-14,16:55:00,Contact From Object,,Animal,Pole,Outside Force,,,
26,2020-11-11,09:51.00,32.678000000000004,-116.86,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,P270154,,12kv,Other,Overhead,Yes,2020-11-11,1902-01-03 00:00:00,Equipment/Facility Failure,Guy/Span Wire,,,Unknown,,,
27,2020-11-30,09:10.00,33.104,-117.12100000000001,Vegetation,Rural,Less Than .25 Acres,Fire Agency,NCFPD,P161627,,12kV,Lightning Arrestor,Overhead,Yes,2020-11-30,09:10:00,Equipment/Facility Failure,Lightning Arrestor,,,Unknown,,,
28,2020-12-03,11:56.00,33.176,-117.1541,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,NCFPD,P194669,,12kV,Conductor,Overhead,Yes,2020-12-03,11:56:00,Equipment/Facility Failure,Pole,,,Weather,,,
0,2017-01-20,14:00.00,32.627359999999996,-117.076705,Building,Urban,Less Than .25 Acres,Fire Agency,Chula Vista ,,,12kV,Conductor,Overhead,Yes,2017-01-20 00:00:00,1903-11-30 00:00:00,,Conductor,Vegetation,Pole,Weather,Circuit 256 - Pole 250440,Contact From Object,
1,2017-06-08,04:12.00,33.035644,-117.18389099999999,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Rnch Snta Fe,,,12kV,Transformer,Padmounted,Yes,2017-06-08 00:00:00,04:12:00,,Transformer,Vehicle,Electric Facility,Human Error,Circuit 307,Contact From Object,
2,2017-06-12,11:20.00,32.842997,-116.71111,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Viejas Fire Dept,,,12kV,Conductor,Overhead,No,,,,,Other,Electric Facility,Weather,Circuit 1458,Contact From Object,
3,2017-06-19,09:52.00,32.782865,-117.04875600000001,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SDFD,,,12kv,Conductor,Overhead,Yes,2017-06-19 00:00:00,09:50:00,,,Other,Electric Facility,,Ciruit 85,Contact From Object,
4,2017-06-26,14:30.00,32.7842,-117.139073,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SDFD,,,12kV,Switch,Overhead,No,,,,,Balloons,Electric Facility,Other,Circuit 700,Contact From Object,
5,2017-06-29,13:07.00,33.135471,-117.097952,Vegetation,Urban,Less Than .25 Acres,Fire Agency,ESCONDIDO,,,12kV,Lightning Arrestor,Overhead,Yes,2017-06-29 00:00:00,13:07:00,,,Animal,Electric Facility,,Circuit 186,Contact From Object,
6,2017-06-29,14:58.00,32.6933964,-116.855195,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,,Communication,12kv,Conductor,Overhead,Yes,2017-06-29 00:00:00,14:58:00,,,Vehicle,Electric Facility,None,Circuit 75,Contact From Object,
7,2017-07-16,11:53.00,32.829,-117.13600000000001,Vegetation,Urban,Less Than .25 Acres,Self Extinguished,,,Communication,12kV,Conductor,Overhead,No,,,,,Balloons,Electric Facility,Other,Cir 777 - Pole Z92709,Contact From Object,
8,2017-07-25,15:18.00,33.134265,-117.16660300000001,Vegetation,Rural,Less Than .25 Acres,Utility,SDGE,,,12kV,Conductor,Overhead,No,,,,,,,Other,P213441/ C596,Vandalism/Theft,
9,2017-07-28,16:31.00,32.780183,-116.872249,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Heartland,,,12kv,Conductor,Overhead,Yes,,16:31:00,,Pole /Conductor,Vehicle,Electric Facility,Outside Force,P78591/ C228,Contact From Object,
10,2017-08-20,22:15.00,32.7522,-117.1184,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SDFD,,,4kV,Fuse,Overhead,Yes,2017-08-20 00:00:00,2017-08-20 00:00:00,,Fuse,,,None,P733937,Equipment/Facility Failure,
11,2017-08-30,14:12.00,33.387516,-117.245943,Vegetation,Urban,Less Than .25 Acres,Fire Agency,,,,12kV,Conductor,Overhead,Yes,8/30/217,14:11:00,,,Balloons,Electric Facility,Other,P214608,Contact From Object,
12,2017-09-05,14:49.00,32.619082,-116.694943,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,,,12kV,Conductor,Overhead,Yes,2017-09-05 00:00:00,14:49:00,,,Vegetation,Electric Facility,Unknown,P175945,Contact From Object,
13,2017-09-26,06:37.00,33.298443,-117.419172,vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CMP FD,,,230kV,Conductor,Overhead,Yes,2017-09-26 00:00:00,06:37:00,,,Balloons,Electric Facility,Other,Z223667 - TL23010,Contact From Object,
14,2017-09-27,14:28.00,33.232655,-116.9748,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,,,12kV,Conductor,Overhead,Yes,2017-09-27 00:00:00,12:43:00,,,,,Unknown,Circuit 909 -Z12816 ,Unknown,
15,2017-09-27,16:10.00,32.727191999999995,-116.778791,Vegetation,Rural,Less Than .25 Acres,Customer,,,,12kV,Lightning Arrestor,Overhead,Yes,2017-09-27 00:00:00,15:59:00,,Lightning Arrestor,,,None,P877437,Equipment/Facility Failure,
16,2017-10-07,17:40.00,32.591426,-116.621583,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,,Communication,12kV,Conductor,Overhead,No,,,,Conductor,,,Other,P471952,Equipment/Facility Failure,
17,2017-10-16,10:20.00,33.0697,-116.8813,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,,,12kV,Conductor,Overhead,No,,,,,,Electric Facility,Other,P112774  /  c236,Contact From Object,
18,2017-10-18,07:20.00,33.99322539999999,-117.12324088,Vegetation,Urban,Less Than .25 Acres,Unknown,,,,12kV,Conductor,Overhead,No,,,,,Vehicle,Pole,Human Error,P10506 Cir 859,Contact From Object,
19,2017-10-22,10:22.00,33.099000000000004,-117.135,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Rnch Snta Fe,,,12kV,Conductor,Overhead,Yes,2017-10-22 00:00:00,10:22:00,,,Other,Electric Facility,Human Error,P250055 Circuit 182,Contact From Object,
20,2017-10-25,13:02.00,33.285684,-117.027534,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,,,12kV,Other,Overhead,No,,,,Other,,,Weather,"P416197, Circuit 908",Equipment/Facility Failure,
21,2017-12-10,02:58.00,33.273868,-116.953675,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,,,12kV,Transformer,Overhead,No,,,,Splice/Clamp/Connector,,,None,P813516,Equipment/Facility Failure,
22,2017-12-10,05:26.00,33.28,-116.955,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,,,12kV,Conductor,Overhead,Yes,2017-12-10 00:00:00,05:26:00,,,Vegetation,Electric Facility,Weather,P32240,Contact From Object,
23,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,Other,,,,,
31,,,,,,,,,,,,,,,,,,,,Other,,,,,
32,,,,,,,,,,,,,,,,,,,,Other,,,,,
33,,,,,,,,,,,,,,,,,,,,Other,,,,,
34,,,,,,,,,,,,,,,,,,,,Other,,,,,
35,,,,,,,,,,,,,,,,,,,,Other,,,,,
36,,,,,,,,,,,,,,,,,,,,Other,,,,,
37,,,,,,,,,,,,,,,,,,,,Other,,,,,
38,,,,,,,,,,,,,,,,,,,,Other,,,,,
39,,,,,,,,,,,,,,,,,,,,Other,,,,,
40,,,,,,,,,,,,,,,,,,,,Other,,,,,
41,,,,,,,,,,,,,,,,,,,,Other,,,,,
42,,,,,,,,,,,,,,,,,,,,Other,,,,,
0,1/3/16,4:30,33.1915,-117.3655,Other,Urban,Less Than .25 Acres,Fire Agency,O'Side FD,,,12kV,Transformer,Padmounted,Yes,1/3/16,4:30,,,Vehicle,Electric Facility,Other,Sta. 580-564,Contact From Object,
1,1/9/16,4:30,33.082,-117.091,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Escondido FD,,,12kV,Conductor,Overhead,Yes,1/9/16,4:30,,,Vegetation,Electric Facility,Weather,P319659,Contact From Object,
2,1/16/16,14:42,32.718764,-116.97455,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SMG/CALFIRE,,,12kV,Conductor,Overhead,Yes,1/16/16,14:42,,Conductor,Balloons,Electric Facility,None,P270861,Equipment/Facility Failure,
3,1/31/16,15:00,33.3217,-117.156,Vegetation,Urban,Less Than .25 Acres,Fire Agency,CALFIRE,,,12kV,Conductor,Overhead,Yes,1/31/16,15:00,,Conductor,Other,Pole,Weather,P714625,Equipment/Facility Failure,
4,2/5/16,9:47,33.0739,-117.0862,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Escondido FD,,,12kV,Other,Overhead,Yes,2/5/16,9:47,,Splice/Clamp/Connector,,,Unknown,P418131,Equipment/Facility Failure,
5,2/12/16,19:30,33.242742,-116.96643799999998,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,,,12kV,Conductor,Overhead,Yes,2/12/16,19:30,,,,,Outside Force,P414015,Vandalism/Theft,
6,2/18/116,0:00,32.7063,-116.397,Vegetation,Rural,Less Than .25 Acres,Utility,,,,12kV,Conductor,Overhead,Yes,2/18/16,6:00,,Conductor,Vehicle,Pole,None,P40825,Equipment/Facility Failure,
7,3/3/16,6:00,32.847243,-116.942031,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Lakeside F.D,,AT&T and Cox,12kV,Conductor,Overhead,Yes,3/3/16,6:30,,,Vehicle,Pole,Human Error,P874898,Contact From Object,
8,3/11/16,11:40,33.156318,-117.215154,Vegetation,Urban,Less Than .25 Acres,Fire Agency,Vista FD,,,12kV,Conductor,Overhead,Yes,3/11/16,11:40,,Conductor,,,Unknown,P615947,Equipment/Facility Failure,
9,4/6/16,10:38,33.18655,-117.196747,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Vista FD,,,12kV,Conductor,Overhead,Yes,4/6/16,10:38,,Conductor,Vegetation,Electric Facility,Human Error,P113372,Contact From Object,
10,4/16/16,Unknown,33.224331,-117.368271,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Unknown,,,12kV,Conductor,Overhead,Yes,4/16/16,,,Conductor,Vegetation,,Weather,"Z29145 (TL 690, C198)",Wind/Equipment/Facility Failure,
11,6/12/16,Unknown,33.094,-117.043,Vegetation,Urban,Less Than .25 Acres,Utility,Utility,,,12kV,Conductor,Overhead,,,,,,Balloons,Electric Facility,None,P712531,Contact from Object,
12,6/14/16,6:05,32.880146,-116.905098,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,,AT&T ,12kV,Conductor,Overhead,Yes,6/14/16,6:05,,,Vehicle,Pole,Outside Force,P370041,Contact From Object,
13,6/23/16,15:00,32.8058,-116.961,Vegetation,Urban,Less Than .25 Acres,Fire Agency,El Cajon FD,,,12kV,Conductor,Overhead,Yes,6/23/16,15:00,,Lightning Arrestor,Animal,Electric Facility,Outside Force,P166454,Contact From Object,
14,6/27/16,15:30,33.283735,-116.617411,Vegetation,Rural,Less Than .25 Acres,Customer,,,,12kV,Other,Overhead,No,,,,Splice/Clamp/Connector,Other,,Human Error,P112086,Equipment/Facility Failure,
15,7/2/16,7:51,32.81,-116.878,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,,,12kV,Capacitor Bank,Overhead,Yes,7/2/16,7:51,,Capacitor Bank,Other,,None,P775960,Equipment/Facility Failure,
16,7/11/16,10:27,33.27186,-117.18256670000001,Vegetation,Urban,Less Than .25 Acres,Customer,CALFIRE,,,12kv,Conductor,Overhead,Yes,7/11/16,10:27,,Other,Other,Electric Facility,,P228931 C 520,Contact From Object,
17,7/11/16,13:19,33.114605,-116.584271,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,CALFIRE,,None,12kV,Lightning Arrestor,Overhead,Yes,7/11/16,13:19,,Lightning Arrestor,Other,,,P412648 C221,Equipment/Facility Failure,
18,7/22/16,Unknown,33.201456,-116.935199,Vegetation,Rural,Less Than .25 Acres,Utility,,,,25kV,Transformer,Overhead,No,,,,Other,,,Unknown,P212466,Equipment/Facility Failure,
19,7/29/16,10:57,33.070958000000005,-116.74243100000001,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,,,12kv,Conductor,Overhead,Yes,7/29/16,,,Conductor,Other,,,P416995,Equipment/Facility Failure,
20,7/31/16,13:43,33.3663,-117.2033,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Fallbrook Fire,,,12kV,Conductor,Overhead,Yes,7/31/16,13:43,,Recloser,Vegetation,Electric Facility,Unknown,P115869,Contact From Object,
21,8/27/16,12:43,33.137128999999995,-117.07614699999999,Vegetation,Rural,Less Than .25 Acres,Customer,,,,12kV,Conductor,Overhead,Yes,8/27/16,12:43,,Fuse,Balloons,Electric Facility,Unknown,P315560,Contact From Object,
22,9/23/16,11:25,32.738037,-116.733272,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,,,12kV,Transformer,Overhead,Yes,9/23/16,11:25,,Transformer,Other,,None,P101347,Equipment/Facility Failure,
23,9/27/16,unknown,33.296658,-117.20794099999999,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,,,12kV,Fuse,Overhead,No,,,,,,,Unknown,,Contact From Object,
24,9/29/16,,32.741775,-116.96533400000001,Vegetation,Urban,Less Than .25 Acres,Fire Agency,SMG/CALFIRE,,,12kV,Conductor,Overhead,No,,,,,,,Outside Force,P26106,Contact Between Third Party Facility on Pole and Supply Lines,
25,9/29/16,8:14,33.171443,-117.31578300000001,Vegetation,Urban,Less Than .25 Acres,Utility,,,none,230kV,Conductor,Overhead,No,,,,,,,Unknown,Z524971,Unknown,
26,10/8/16,10:53,33.301856,-117.097422,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Valley Center,,,230kv,Conductor,Overhead,No,,,,Switch,Other,Electric Facility,Other,Z811329,Contact From Object,
27,10/21/16,11:20,33.0485,-116.8615,Vegetation,Rural,Less Than .25 Acres,Fire Agency,CALFIRE,,,12kV,Conductor,Overhead,No,,,,Transformer,Other,,,P114079,,
28,11/2/16,10:30,32.837264000000005,-116.70215800000001,Vegetation,Rural,Less Than .25 Acres,Utility,,,,12kV,Conductor,Overhead,Yes,11/2/16,10:30,,Splice/Clamp/Connector,Other,,None,P175475,Equipment/Facility Failure,
29,11/12/16,20:30,32.6258333,-116.9375,Vegetation,Rural,Less Than .25 Acres,Fire Agency,Chula Vista Fire,,,12kV,Lightning Arrestor,Overhead,Yes,11/12/16,18:34,,Lightning Arrestor,Other,,,P85952,Equipment/Facility Failure,
30,,,,,,,,,,,,,,,,,,,,Other,,,,,
31,,,,,,,,,,,,,,,,,,,,Other,,,,,
32,,,,,,,,,,,,,,,,,,,,Other,,,,,
33,,,,,,,,,,,,,,,,,,,,Other,,,,,
34,,,,,,,,,,,,,,,,,,,,Other,,,,,
35,,,,,,,,,,,,,,,,,,,,Other,,,,,
36,,,,,,,,,,,,,,,,,,,,Other,,,,,
37,,,,,,,,,,,,,,,,,,,,Other,,,,,
38,,,,,,,,,,,,,,,,,,,,Other,,,,,
39,,,,,,,,,,,,,,,,,,,,Other,,,,,
40,,,,,,,,,,,,,,,,,,,,Other,,,,,
41,,,,,,,,,,,,,,,,,,,,Other,,,,,
42,,,,,,,,,,,,,,,,,,,,Other,,,,,
0,2014-01-01,18:45.00,33.1179,-117.07799999999999,Vegetation,Urban,Less Than .25 Acres,Customer,,P11112,,12kV,Other,Overhead,Yes,2014-01-01,18:45:00,,Splice/Clamp/Connector,Vehicle,Pole,Other,,Equipment/Facility Failure,
1,2014-03-05,09:49.00,33.2038,-117.1142,Vegetation,Rural,.26 - 9.99 Acres,Fire Agency,Cal Fire,P515262,,12kV,Conductor,Overhead,Yes,2014-03-12,09:49:00,,Splice/Clamp/Connector,Other,,,,Equipment/Facility Failure,
